player,tm,ws
A.C. Green,DAL,10.6
A.C. Green,LAL,64.4
A.C. Green,MIA,3.2
A.J. Bramlett,CLE,-0.2
A.J. Green,MIL,0.8
A.J. Guyton,CHI,0.4
A.J. Guyton,GSW,-0.1
A.J. Hammons,DAL,0.0
A.J. Lawson,DAL,0.1
A.J. Lawson,MIN,0.0
A.J. Price,CLE,-0.1
A.J. Price,IND,2.7
A.J. Price,MIN,0.0
A.J. Price,WAS,2.2
A.J. Wynder,BOS,0.0
A.W. Holt,CHI,-0.1
AJ Griffin,ATL,2.2
Aaron Brooks,CHI,4.2
Aaron Brooks,DEN,1.0
Aaron Brooks,HOU,12.0
Aaron Brooks,IND,0.3
Aaron Brooks,MIN,0.1
Aaron Brooks,SAC,0.9
Aaron Gordon,DEN,13.3
Aaron Gordon,ORL,22.4
Aaron Gray,CHI,2.1
Aaron Gray,SAC,0.1
Aaron Gray,TOR,1.9
Aaron Harrison,DAL,-0.1
Aaron Henry,PHI,-0.1
Aaron Holiday,ATL,0.9
Aaron Holiday,IND,3.2
Aaron Holiday,WAS,0.5
Aaron Jackson,HOU,0.0
Aaron McKie,DET,3.0999999999999996
Aaron McKie,LAL,0.2
Aaron McKie,PHI,28.3
Aaron McKie,POR,8.4
Aaron Miles,GSW,0.0
Aaron Nesmith,BOS,1.5
Aaron Nesmith,IND,2.0
Aaron Wiggins,OKC,3.8
Aaron Williams,DEN,-0.1
Aaron Williams,LAC,1.1
Aaron Williams,MIL,-0.1
Aaron Williams,TOR,0.1
Aaron Williams,UTA,-0.1
Aaron Williams,WAS,4.8
Abdel Nader,BOS,-0.1
Abdel Nader,OKC,2.2
Abdul Jeelani,DAL,1.6
Abdul Jeelani,POR,3.8
Acie Earl,BOS,0.0
Acie Earl,MIL,0.1
Acie Earl,TOR,0.19999999999999998
Acie Law,ATL,0.6
Acie Law,CHA,0.0
Acie Law,CHI,0.3
Acie Law,GSW,1.0
Acie Law,MEM,-0.3
Adam Harrington,DAL,-0.1
Adam Harrington,DEN,0.2
Adam Keefe,ATL,4.699999999999999
Adam Keefe,GSW,0.6
Adam Keefe,UTA,19.599999999999998
Adam Mokoka,CHI,0.1
Adam Morrison,CHA,-1.4
Adam Morrison,LAL,0.0
Ade Murkey,SAC,0.0
Admiral Schofield,ORL,1.1
Admiral Schofield,WAS,0.1
Adonal Foyle,GSW,17.099999999999998
Adonal Foyle,MEM,0.0
Adonal Foyle,ORL,1.6
Adonis Jordan,DEN,-0.1
Adonis Jordan,MIL,0.0
Adonis Thomas,ORL,0.0
Adonis Thomas,PHI,0.0
Adreian Payne,ATL,0.0
Adreian Payne,MIN,-0.8
Adreian Payne,ORL,0.2
Adrian Branch,LAL,0.7
Adrian Branch,MIN,0.0
Adrian Branch,POR,1.5
Adrian Caldwell,DAL,0.0
Adrian Caldwell,HOU,0.5
Adrian Caldwell,IND,0.3
Adrian Caldwell,PHI,0.3
Adrian Dantley,DAL,5.2
Adrian Dantley,DET,25.0
Adrian Dantley,IND,4.5
Adrian Dantley,LAL,13.4
Adrian Dantley,MIL,0.1
Adrian Dantley,UTA,76.39999999999999
Adrian Griffin,BOS,4.3
Adrian Griffin,CHI,2.6
Adrian Griffin,DAL,9.3
Adrian Griffin,HOU,0.1
Ahmad Caver,IND,0.0
Al Bianchi,PHI,-0.8
Al Butler,BOS,0.2
Al Butler,NYK,7.1
Al Eberhard,DET,5.300000000000001
Al Harrington,ATL,5.4
Al Harrington,DEN,5.300000000000001
Al Harrington,GSW,8.100000000000001
Al Harrington,IND,15.900000000000002
Al Harrington,NYK,7.5
Al Harrington,ORL,0.0
Al Harrington,WAS,0.4
Al Henry,PHI,0.7
Al Horford,ATL,64.3
Al Horford,BOS,35.5
Al Horford,OKC,1.6
Al Horford,PHI,5.4
Al Jefferson,BOS,11.599999999999998
Al Jefferson,CHA,7.8
Al Jefferson,IND,3.9
Al Jefferson,MIN,17.2
Al Jefferson,UTA,23.0
Al Skinner,DET,1.3
Al Skinner,PHI,0.2
Al Thornton,GSW,0.3
Al Thornton,LAC,3.9
Al Thornton,WAS,2.0
Al Tucker,CHI,1.4
Al Wood,ATL,0.0
Al Wood,DAL,1.0
Al-Farouq Aminu,CHI,0.0
Al-Farouq Aminu,DAL,3.3
Al-Farouq Aminu,LAC,0.7
Al-Farouq Aminu,NOP,3.1
Al-Farouq Aminu,ORL,0.2
Al-Farouq Aminu,POR,15.9
Alaa Abdelnaby,BOS,1.7999999999999998
Alaa Abdelnaby,MIL,0.1
Alaa Abdelnaby,PHI,-0.3
Alaa Abdelnaby,POR,2.6
Alaa Abdelnaby,SAC,0.6
Alan Anderson,CHA,0.5
Alan Anderson,LAC,0.1
Alan Anderson,TOR,1.9000000000000001
Alan Anderson,WAS,0.3
Alan Hardy,DET,0.2
Alan Hardy,LAL,-0.2
Alan Henderson,ATL,22.099999999999998
Alan Henderson,CLE,1.3
Alan Henderson,DAL,3.1
Alan Henderson,PHI,1.6
Alan Ogg,MIA,0.8
Alan Ogg,MIL,0.0
Alando Tucker,MIN,0.0
Albert King,PHI,-0.1
Albert King,SAS,0.0
Alec Burks,CLE,0.9
Alec Burks,DET,2.5
Alec Burks,GSW,2.5
Alec Burks,NYK,9.399999999999999
Alec Burks,PHI,1.2
Alec Burks,SAC,0.2
Alec Burks,UTA,12.100000000000001
Alec Kessler,MIA,2.0
Aleem Ford,ORL,-0.2
Aleksandar Djordjevic,POR,0.1
Aleksandar Radojević,TOR,-0.1
Aleksandar Radojević,UTA,-0.3
Aleksej Pokusevski,OKC,-0.5
Alen Smailagić,GSW,0.2
Alex Acker,DET,-0.2
Alex Acker,LAC,0.0
Alex Blackwell,LAL,0.0
Alex Bradley,NYK,0.4
Alex Caruso,CHI,5.6
Alex Caruso,LAL,6.199999999999999
Alex English,DAL,0.6
Alex English,DEN,84.19999999999999
Alex English,IND,10.6
Alex English,MIL,5.2
Alex Garcia,SAS,-0.1
Alex Kirk,CLE,0.0
Alex Len,ATL,5.0
Alex Len,SAC,1.9
Alex Len,TOR,-0.1
Alex Len,WAS,2.8
Alex Poythress,ATL,0.5
Alex Poythress,IND,0.1
Alex Poythress,PHI,0.3
Alex Scales,SAS,0.0
Alex Stepheson,LAC,0.0
Alex Stepheson,MEM,0.1
Alex Stivrins,ATL,0.0
Alex Stivrins,LAC,0.0
Alex Stivrins,MIL,0.0
Alexander Johnson,MEM,1.3
Alexander Johnson,MIA,0.2
Alexander Volkov,ATL,4.4
Alexey Shved,HOU,0.0
Alexey Shved,MIN,1.0
Alexey Shved,NYK,1.2
Alexey Shved,PHI,0.9
Alexis Ajinça,CHA,-0.1
Alexis Ajinça,DAL,0.1
Alexis Ajinça,NOP,7.300000000000001
Alexis Ajinça,TOR,0.2
Alfonzo McKinnie,CHI,-0.1
Alfonzo McKinnie,CLE,0.2
Alfonzo McKinnie,GSW,2.1
Alfonzo McKinnie,LAL,0.8
Alfonzo McKinnie,TOR,0.1
Alfred McGuire,NYK,5.4
Alfredrick Hughes,SAS,-0.5
Alize Johnson,CHI,0.2
Alize Johnson,IND,0.3
Alize Johnson,NOP,0.1
Alize Johnson,SAS,-0.1
Alize Johnson,WAS,-0.1
Allan Bristow,DAL,2.7
Allan Bristow,PHI,2.4
Allan Bristow,SAS,10.6
Allan Bristow,UTA,7.1000000000000005
Allan Houston,DET,9.7
Allan Houston,NYK,45.5
Allan Ray,BOS,0.6
Allen Crabbe,ATL,0.1
Allen Crabbe,MIN,-0.2
Allen Crabbe,POR,9.9
Allen Iverson,DEN,16.4
Allen Iverson,DET,2.7
Allen Iverson,MEM,0.1
Allen Iverson,PHI,79.69999999999999
Allen Leavell,HOU,29.8
Allen Murphy,LAL,-0.1
Allie McGuire,NYK,0.0
Allonzo Trier,NYK,1.4
Alonzo Bradley,HOU,-0.2
Alonzo Gee,CLE,6.199999999999999
Alonzo Gee,DEN,1.0
Alonzo Gee,NOP,1.9
Alonzo Gee,POR,0.1
Alonzo Gee,SAS,-0.1
Alonzo Gee,WAS,0.5
Alonzo Mourning,MIA,64.89999999999999
Alperen Şengün,HOU,7.300000000000001
Alphonso Ford,PHI,-0.4
Alton Ford,HOU,0.1
Alton Lister,BOS,1.1
Alton Lister,GSW,2.2
Alton Lister,MIL,21.4
Alton Lister,POR,0.0
Alvin Heggs,HOU,0.1
Alvin Jones,PHI,0.1
Alvin Robertson,DET,1.7
Alvin Robertson,MIL,20.4
Alvin Robertson,SAS,27.200000000000003
